File Name,Dimension Found,Raw Conversion result,Final Conversion
24SWAdvSketch02_01.txt,six,N/A,No change - no unit detected
24SWAdvSketch02_02.txt,One,N/A,No change - no unit detected
24SWAdvSketch02_02.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,three,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,One,N/A,No change - no unit detected
24SWAdvSketch02_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_05.txt,One,N/A,No change - no unit detected
24SWAdvSketch02_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_05.txt,One,N/A,No change - no unit detected
24SWAdvSketch02_06.txt,four,N/A,No change - no unit detected
24SWAdvSketch02_06.txt,two,N/A,No change - no unit detected
24SWAdvSketch02_06.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_06.txt,two,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,three,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,seven,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,five,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,seven,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,five,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,seven,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,five,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,five,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,five,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,zero,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,six,N/A,No change - no unit detected
24SWAdvSketch02_07.txt,zero,N/A,No change - no unit detected
